[Mean spearmanr for sents of len 5-50]
0.6910359596640364

[UUAS]
0.4820948383288516

[SPEARMANR]
sent_len	mean_spearmanr
2	0.9999999999999998
3	0.8532685848747931
4	0.7144395080250343
5	0.6653824547246437
6	0.7330535371771957
7	0.6851932407614257
8	0.6769840330752807
9	0.676928599733804
10	0.6982931717725365
11	0.6819011276086018
12	0.7103630680089491
13	0.6996853242308779
14	0.6757232195304077
15	0.6922471014452904
16	0.7038495256974692
17	0.696553959232759
18	0.6941179386840155
19	0.6932822076039828
20	0.6927090546711536
21	0.6884495217332007
22	0.6951126825552142
23	0.694074099924678
24	0.6944335963941586
25	0.6814779474313127
26	0.6824325136054464
27	0.6895459421342724
28	0.7019446698573013
29	0.6914118537171335
30	0.6847729766868832
31	0.7026618770032224
32	0.6993750595798254
33	0.6845968082335226
34	0.7073967398060766
35	0.6725655171991803
36	0.7021916349721419
37	0.6983624136093546
38	0.6878170113590348
39	0.6861380571076761
40	0.6977274191461622
41	0.6697423782891023
42	0.6825102539586142
43	0.6706789451938779
44	0.7078538443577285
45	0.7046029839860377
46	0.6961262695368362
47	0.6822061212024495
48	0.6972421767610175
49	0.6644535486482426
50	0.6934817165975774
51	0.7106493004339033
52	0.7130906656691346
53	0.6863122340609742
54	0.6346664962491103
55	0.695907196480629
56	0.6280566343011492
57	0.6325208539153526
58	0.683357106600876
59	0.6809437919623722
60	0.3617415379316638
61	0.5915405316387213
62	0.6826675084908161
63	0.644277677588481
64	0.5951628568598393
65	0.6955267290770528
66	0.7152726770218544
67	0.6031637170298835
69	0.5623147442697626
90	0.27758719164991985
116	0.26991725192580734
118	0.2577855303184845

[EPOCH LOSSES]
0
1
2
3
4

[SETTINGS]
ROOT_PATH	C:\Program Files\Python311\Lib\site-packages\thehow\dependency_probe
MODEL_NAME	bert_large_uncased
MODEL_PATH	D:\transformers\bert\bert_large_uncased
MODEL_NLAYER	24
NDIM_TOKEN_EMBEDDING	1024
MODEL_CUDA	False
ONSITE_EMBEDDINGS	False
HIDDEN_LAYER	0
ONSITE_PROBES	True
LEARNING_RATE	0.001
PROBE_RANK	64
PROBE_CUDA	False
BATCH_SIZE	100
PROBE_SAVEPATH	C:\Program Files\Python311\Lib\site-packages\thehow\dependency_probe\probes
EPOCHS	5
PROBE_LOSS_POW	2
CONLL_ALIAS	wsj
CONLL_PATH	C:\Program Files\Python311\Lib\site-packages\thehow\dependency_probe\datasets\conll\wsj
TRAIN_CONLL_PATH	C:\Program Files\Python311\Lib\site-packages\thehow\dependency_probe\datasets\conll\wsj\en_wsj-ud-train.conllu
DEV_CONLL_PATH	C:\Program Files\Python311\Lib\site-packages\thehow\dependency_probe\datasets\conll\wsj\en_wsj-ud-dev.conllu
TEST_CONLL_PATH	C:\Program Files\Python311\Lib\site-packages\thehow\dependency_probe\datasets\conll\wsj\en_wsj-ud-test.conllu
DEPD_DIRECTED	False
DATASET_PKL_PATH	C:\Program Files\Python311\Lib\site-packages\thehow\dependency_probe\datasets\pkl
REPORTS_PATH	C:\Program Files\Python311\Lib\site-packages\thehow\dependency_probe\reports
METHOD	pairwisedepd
